R, 0x10E10
R, 0x10E14
R, 0x10E18
R, 0x10E18
R, 0x10E1C
R, 0x10E20
R, 0x10E24
R, 0x10E24
R, 0x10E28
R, 0x10E2C
W, 0x10E24, 0x4
W, 0x10E10, 0x1
R, 0x10E14
R, 0x10E18
R, 0x10E18
R, 0x10E1C
R, 0x10E20
R, 0x10E24
R, 0x10E28
R, 0x10E2C
W, 0x10E18, 0x9
W, 0x10E14, 0x2
R, 0x10E18
R, 0x10E1C
R, 0x10E1C
R, 0x10E20
R, 0x10E24
R, 0x10E24
R, 0x10E28
R, 0x10E28
R, 0x10E2C
W, 0x10E28, 0x9
W, 0x10E18, 0x3
R, 0x10E1C
R, 0x10E20
R, 0x10E24
R, 0x10E24
R, 0x10E28
R, 0x10E2C
W, 0x10E24, 0x6
W, 0x10E1C, 0x4
R, 0x10E20
R, 0x10E24
R, 0x10E24
R, 0x10E28
R, 0x10E2C
R, 0x10E2C
W, 0x10E2C, 0x8
W, 0x10E20, 0x5
R, 0x10E24
R, 0x10E28
R, 0x10E2C
R, 0x10E28
R, 0x10E2C
R, 0x10E2C
W, 0x10E2C, 0x9
W, 0x10E28, 0x8
